Year,"US Short-Term Rate: Ordinary Funds, Contemporary Series","US Short-Term Rate: Ordinary Funds, Consistent Series","US Short-Term Rate: Surplus Funds, Contemporary Series","US Short-Term Rate: Surplus Funds, Consistent Series",US Long-Term Rate: Contemporary Series,US Long-Term Rate: Consistent Series
1799,,,,,7.42,8.96
1800,,,,,6.94,8.38
1801,,,,,6.44,7.77
1802,,,,,6.02,7.27
1803,,,,,6.16,7.44
1804,,,,,6.29,7.59
1805,,,,,6.38,7.7
1806,,,,,6.14,7.41
1807,,,,,6.08,7.34
1808,,,,,5.96,7.19
1809,,,,,5.85,7.06
1810,,,,,5.82,7.03
1811,,,,,5.95,7.18
1812,,,,,6.12,7.39
1813,,,,,6.3,7.61
1814,,,,,7.64,9.22
1815,,,,,7.3,8.81
1816,,,,,7.25,8.75
1817,,,,,5.86,7.07
1818,,,,,5.78,6.98
1819,,,,,5.9,7.12
1820,,,,,5.16,6.23
1821,,,,,4.57,5.52
1822,,,,,4.65,5.61
1823,,,,,4.72,5.7
1824,,,,,4.25,5.13
1825,,,,,4.32,5.22
1826,,,,,4.5,5.43
1827,,,,,4.37,5.28
1828,,,,,4.48,5.41
1829,,,,,4.5,5.43
1830,,,,,4.37,5.28
1831,6.13,2.85,,,4.41,5.32
1832,6.25,2.91,,,4.45,5.37
1833,7.83,3.65,,,4.58,5.53
1834,14.5,6.76,,,4.51,5.44
1835,7,3.26,,,4.43,5.35
1836,18.42,8.58,,,4.66,5.63
1837,14.18,6.61,,,4.77,5.76
1838,9.03,4.21,,,4.51,5.44
1839,13.22,6.16,,,4.74,5.72
1840,7.69,3.58,,,4.82,5.82
1841,6.77,3.15,,,5.3,6.4
1842,8.15,3.79,,,6.07,7.33
1843,4.48,2.09,,,5.03,6.07
1844,4.83,2.25,,,4.85,5.85
1845,6.02,2.8,,,5.16,6.23
1846,8.35,3.89,,,5.5,6.64
1847,9.54,4.45,,,5.77,6.97
1848,15.13,7.05,,,5.71,6.89
1849,10.08,4.7,,,5.16,6.23
1850,8.02,3.74,,,4.58,5.53
1851,9.69,4.51,,,4.47,5.4
1852,6.42,2.99,,,4.39,5.3
1853,10.22,4.76,,,4.02,4.85
1854,10.38,4.83,,,4.14,5
1855,8.96,4.17,,,4.18,5.05
1856,8.92,4.15,,,4.11,4.96
1857,11,5.35,9.34,5.85,4.3,5.19
1858,4.82,2.34,4.15,2.6,4.32,5.22
1859,6.15,2.99,5.43,3.4,4.72,5.7
1860,7.27,3.54,5.99,3.75,5.57,6.72
1861,6.72,3.27,5.76,3.6,6.45,7.79
1862,5.32,2.59,5.23,3.27,4.92,5.89
1863,5.65,2.75,6.19,3.87,4.37,5.24
1864,7.36,3.58,6.59,4.12,4.83,5.78
1865,7.78,3.79,6.17,3.86,5.54,6.64
1866,6.36,3.09,5.23,3.27,5.52,6.61
1867,7.33,3.57,6.26,3.92,5.34,6.4
1868,7.26,3.53,7.54,4.72,5.29,6.33
1869,9.67,4.7,10.29,6.44,5.38,6.45
1870,7.25,3.53,5.72,3.58,5.44,6.52
1871,6.98,3.4,5.56,3.48,5.33,6.38
1872,8.63,4.2,8.38,5.24,5.37,6.43
1873,10.31,5.02,14.24,8.91,5.55,6.65
1874,5.98,2.91,3.43,2.14,5.49,6.57
1875,5.45,2.65,3.11,1.95,5.07,6.08
1876,5.13,2.5,3.35,2.1,4.59,5.5
1877,5.18,2.52,3.87,2.42,4.45,5.33
1878,4.8,2.34,4.22,2.64,4.34,5.2
1879,5.06,2.46,5.44,3.41,4.22,5.05
1880,5.23,2.54,4.86,3.04,4.02,4.82
1881,5.2,2.53,5.76,3.61,3.72,4.45
1882,5.64,2.75,4.78,2.99,3.63,4.35
1883,5.63,2.74,3.71,2.32,3.63,4.35
1884,5.2,2.53,3.03,1.9,3.63,4.34
1885,4.06,1.98,1.66,1.04,3.53,4.22
1886,4.76,2.32,4.03,2.52,3.39,4.06
1887,5.75,2.8,5.01,3.13,3.53,4.23
1888,4.89,2.38,2.51,1.57,3.67,4.4
1889,4.86,2.37,4.48,2.8,3.46,4.14
1890,6.91,2.55,5.84,3.65,3.42,4.1
1891,6.48,2.39,3.42,2.14,3.64,4.36
1892,5.4,2,3.08,1.93,3.61,4.32
1893,7.64,2.82,4.57,2.86,3.74,4.48
1894,5.22,1.93,1.07,0.67,3.69,4.42
1895,5.8,2.14,1.88,1.18,3.46,4.15
1896,7.02,2.59,4.28,2.68,3.61,4.32
1897,4.72,1.74,1.75,1.1,3.39,4.06
1898,5.34,1.97,2.18,1.36,3.35,4.01
1899,5.5,2.03,5.08,3.18,3.24,3.71
1900,5.71,2.11,2.94,1.84,3.31,3.79
1901,5.4,2,4,2.5,3.28,3.75
1902,5.81,2.15,5.15,3.22,3.34,3.82
1903,6.16,2.28,3.71,2.32,3.55,4.06
1904,5.14,1.9,1.78,1.11,3.57,4.09
1905,5.18,1.91,4.44,2.78,3.51,4.02
1906,6.25,2.31,6.54,4.09,3.65,4.18
1907,6.66,2.46,7.01,4.39,3.92,4.49
1908,5,1.85,1.92,1.2,3.9,4.46
1909,4.67,1.73,2.71,1.7,3.78,4.33
1910,5.72,2.11,2.98,1.86,3.87,4.43
1911,4.75,1.75,2.57,1.61,3.93,4.5
1912,5.41,2,3.52,2.2,3.95,4.52
1913,6.2,2.29,3.22,2.01,4.14,4.74
1914,5.47,2.02,3.43,2.15,4.11,4.7
1915,4.01,1.48,1.92,1.2,4.18,4.78
1916,3.84,1.42,2.62,1.64,4.1,4.69
1917,5.07,1.87,3.43,2.15,4.41,5.05
1918,6.02,2.22,5.28,3.3,4.82,5.52
1919,5.37,1.98,6.32,3.95,5.49,5.49
1920,7.5,2.77,7.74,4.84,6.12,6.12
1921,6.62,2.45,5.97,3.74,5.97,5.97
1922,4.52,1.67,4.29,2.68,5.1,5.1
1923,5.07,1.87,4.86,3.04,5.12,5.12
1924,3.98,1.47,3.08,1.93,5,5
1925,4.02,1.49,4.18,2.62,4.88,4.88
1926,4.34,1.6,4.5,2.82,4.73,4.73
1927,4.11,1.52,4.06,2.54,4.57,4.57
1928,4.85,1.79,6.04,3.78,4.55,4.55
1929,5.85,2.16,7.61,4.76,4.73,4.73
1930,3.59,1.33,2.94,1.84,4.55,4.55
1931,1.65,1.65,1.74,1.09,4.58,4.58
1932,1.03,1.03,2.05,1.28,5.01,5.01
1933,0.6,0.6,1.16,0.73,4.49,4.49
1934,0.28,0.28,1,0.63,4,4
1935,0.17,0.17,0.56,0.35,3.6,3.6
1936,0.17,0.17,0.91,0.57,3.24,3.24
1937,0.28,0.28,1,0.63,3.26,3.26
1938,0.07,0.07,1,0.63,3.19,3.19
1939,0.05,0.05,1,0.63,3.01,3.01
1940,0.04,0.04,1,0.63,2.84,2.84
1941,0.13,0.13,1,0.63,2.77,2.77
1942,0.34,0.34,1,0.63,2.83,2.83
1943,0.38,0.38,1,0.63,2.73,2.73
1944,0.38,0.38,1,0.63,2.72,2.72
1945,0.38,0.38,1,0.63,2.62,2.62
1946,0.38,0.38,1.16,0.73,2.53,2.53
1947,0.61,0.61,1.38,0.86,2.61,2.61
1948,1.05,1.05,1.55,0.97,2.82,2.82
1949,1.11,1.11,1.63,1.02,2.66,2.66
1950,1.2,1.2,1.63,1.02,2.62,2.62
1951,1.52,1.52,2.17,1.36,2.86,2.86
1952,1.72,1.72,2.48,1.55,2.96,2.96
1953,1.9,1.9,3.06,1.91,3.2,3.2
1954,0.94,0.94,3.05,1.91,2.9,2.9
1955,1.73,1.73,1.78,1.78,3.06,3.06
1956,2.62,2.62,2.73,2.73,3.36,3.36
1957,3.23,3.23,3.11,3.11,3.89,3.89
1958,1.78,1.78,1.57,1.57,3.79,3.79
1959,3.37,3.37,3.3,3.3,4.38,4.38
1960,2.87,2.87,3.22,3.22,4.41,4.41
1961,2.36,2.36,1.96,1.96,4.35,4.35
1962,2.77,2.77,2.68,2.68,4.33,4.33
1963,3.16,3.16,3.18,3.18,4.26,4.26
1964,3.54,3.54,3.5,3.5,4.4,4.4
1965,3.95,3.95,4.07,4.07,4.49,4.49
1966,4.86,4.86,5.11,5.11,5.13,5.13
1967,4.29,4.29,4.22,4.22,5.51,5.51
1968,5.34,5.34,5.66,5.66,6.18,6.18
1969,6.67,6.67,8.22,8.22,7.03,7.03
1970,6.39,6.39,7.18,7.18,8.04,8.04
1971,4.33,4.33,4.66,4.66,7.39,7.39
1972,4.07,4.07,4.43,4.43,7.21,7.21
1973,7.03,7.03,8.73,8.73,7.44,7.44
1974,7.83,7.83,10.5,10.5,8.57,8.57
1975,5.77,5.77,5.82,5.82,8.83,8.83
1976,4.97,4.97,5.04,5.04,8.43,8.43
1977,5.27,5.27,5.54,5.54,8.02,8.02
1978,7.19,7.19,7.93,7.93,8.73,8.73
1979,10.07,10.07,11.19,11.19,9.63,9.63
1980,11.39,11.39,13.35,13.35,11.94,11.94
1981,14.04,14.04,16.39,16.39,14.17,14.17
1982,10.6,10.6,12.24,12.24,13.79,13.79
1983,8.62,8.62,9.09,9.09,12.04,12.04
1984,9.54,9.54,10.23,10.23,12.71,12.71
1985,7.47,7.47,8.1,8.1,11.37,11.37
1986,5.97,5.97,6.8,6.8,9.02,9.02
1987,5.78,5.78,6.66,6.66,9.38,9.38
1988,6.67,6.67,7.57,7.57,9.71,9.71
1989,8.11,8.11,9.21,9.21,9.26,9.26
1990,7.5,7.5,8.1,8.1,9.32,9.32
1991,5.38,5.38,5.69,5.69,8.77,8.77
1992,3.43,3.43,3.52,3.52,8.14,8.14
1993,3,3,3.02,3.02,7.22,7.22
1994,4.25,4.25,4.21,4.21,7.97,7.97
1995,5.49,5.49,5.83,5.83,7.59,7.59
1996,5.01,5.01,5.3,5.3,7.37,7.37
1997,5.06,5.06,5.46,5.46,7.27,7.27
1998,4.78,4.78,5.35,5.35,6.53,6.53
1999,4.64,4.64,4.97,4.97,7.05,7.05
2000,5.82,5.82,6.24,6.24,7.62,7.62
2001,3.4,3.4,3.88,3.88,7.08,7.08
2002,1.61,1.61,1.67,1.67,6.49,6.49
2003,1.01,1.01,1.13,1.13,5.66,5.66
2004,1.37,1.37,1.35,1.35,5.63,5.63
2005,3.15,3.15,3.22,3.22,5.23,5.23
2006,4.73,4.73,4.97,4.97,5.59,5.59
2007,4.36,4.36,5.02,5.02,5.56,5.56
2008,1.37,1.37,1.92,1.92,5.63,5.63
2009,0.15,0.15,0.16,0.16,5.31,5.31
2010,0.14,0.14,0.18,0.18,4.94,4.94
2011,0.05,0.05,0.1,0.1,4.64,4.64
2012,0.09,0.09,0.14,0.14,3.67,3.67
2013,0.06,0.06,0.11,0.11,4.23,4.23
2014,0.03,0.03,0.09,0.09,4.16,4.16
2015,0.05,0.05,0.13,0.13,3.89,3.89
2016,0.32,0.32,0.39,0.39,3.67,3.67
2017,0.93,0.93,1,1,3.74,3.74
2018,1.94,1.94,1.83,1.83,3.93,3.93
2019,2.06,2.06,2.16,2.16,3.39,3.39
