Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Algeria,no data,77.833696000148,62.925693336249,74.027876178717,98.376050020169,116.19509324236,98.147859922179,69.855061578304,72.863183970186,82.019073655466,62.813271250152,48.376133992572,45.158655554082,31.325376783504,23.456769684995,1.920425019836,-10.8384322611,-20.879925973765,-35.485665376061,-39.643924820208,-33.702937696035,-31.08353905548,-29.027937332447,-29.511370258121,-21.78761970899,-7.6167272175416,13.326820638618,21.59776716119,25.446889819463,30.526354309937,53.52454789616,64.034113739337,71.935762700431,79.997566668025,87.110051062079,92.657434132272
Australia,9.5856974808996,12.621061369843,18.247203970605,22.091452422614,23.286016685344,23.141709709427,21.376576516626,18.21613729553,14.661520474799,11.05113190367,7.1423881833886,4.7007401972302,2.7647782462165,0.75490048023196,-1.2304693414505,-3.8143203504646,-6.322173795657,-7.2746091987579,-5.297882580963,1.2263642772836,6.3165015711375,10.581509609201,13.795996224597,16.037028273457,19.052171597047,22.075311160453,23.31180920164,23.266826822044,24.056205447864,27.629857024512,39.442707805615,49.164996981589,53.37174220345,54.074467597832,52.84687159443,50.712980234301
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.376712160769,43.732150598343,42.277445968736,44.238966865312,42.690874979783,46.19742172626,50.031951182938,49.639330845136,48.757217108368,49.169456624566,56.660362076501,60.481624324173,60.26597353485,60.471195792541,60.408446412479,59.144351382171,58.285306963272,56.965518023105,55.779222988757,50.65402912276,47.792604811365,61.014386464221,61.735659577193,60.938320137959,60.409397885613,59.359433149685,57.727270702389
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,110.92621569571,106.43318778734,100.8362717259,98.520059772637,95.911511225778,92.880181791672,88.445859443434,86.373561865197,83.06848202835,78.694426094017,82.208266286085,88.886868529438,88.882524646142,91.60274278662,92.035994044151,92.52876196294,93.320413693164,91.96884104228,91.111519160637,88.107822054593,86.468595154625,85.820729889977,103.80934619325,104.02910302688,105.79257900083,107.48183907818,109.50347399193,111.61344654319
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.930411815767,51.729317192594,62.11631602975,66.444263206075,87.015366068772,71.088190780271,41.886329055053,27.257739739159,20.607275745523,23.143995733788,17.72304191966,15.042664029921,12.237399026087,11.755597042135,15.66314652392,22.769444038067,30.476775628329,37.213471961477,41.596358850198,48.017628176132,59.363478917599,60.782462581489,61.880542011638,62.308120973915,62.596840576065,62.276272650529
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,46.965791493999,51.48605178467,59.934109397138,54.258679888411,50.185612145491,47.915497164249,46.485821992278,44.545775549755,37.566313321512,40.884931853477,37.979369157561,34.470183563793,32.194399682604,30.50358372727,32.586306049403,35.639819294002,46.143916138024,51.386583599241,53.647015527799,55.695320907565,68.504230159872,74.001614490796,76.889781546951,79.137101649629,81.16874354464,82.760542768439
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,70.087012504633,70.719095489135,75.944797175705,62.835327178431,57.839480766953,54.157486951136,54.323859514234,46.04344041078,16.924282327438,11.05278335177,7.6761392270201,8.1102321569797,10.485417017219,12.557761613013,13.144672861394,15.933552361644,19.880042025613,27.75094441289,31.592337713854,34.360471769484,36.961908247369,40.401999898179,42.780148137713,43.506354009064,43.703442302846,43.553070665147,42.453595340227,41.116162296517
Canada,43.040923244886,49.721837608381,58.085641851711,62.919641195818,66.140595879652,67.562988428623,67.252748786394,63.265911441507,59.147007914535,52.375916112972,43.800804830793,41.39084333223,39.248835966336,36.932624664574,32.431155674309,28.500552198595,25.66323489714,22.204009606627,18.648120354294,24.570333232782,26.986557410111,27.480873001692,28.909189519927,29.664812193159,28.488223458041,28.387226750253,28.659736810275,27.883987115076,26.482649955753,25.860831172484,46.369528162377,48.41990766618,48.425178189002,47.43473874441,45.194342830102,42.897197335721
Chile,no data,22.410765106183,14.825344641485,13.439710634108,8.0753543956069,3.9081208973389,1.4513680306058,-0.43535402219343,-0.27670240078036,1.6385355710787,3.0880641256247,5.6148220494304,7.6421154477777,6.5638883980872,3.9850780268254,-0.053578710547905,-6.6224149288475,-12.930293895375,-19.284232073808,-10.537663686913,-7.000879956577,-8.5666232879997,-6.7742425109555,-5.6233550071633,-4.3506222160978,-3.4398792480431,0.94089891567225,4.411578332457,5.6863628545685,7.8737334885962,14.67694406467,18.306190800978,21.806216780236,24.351357932201,25.726608075132,26.656656819557
Colombia,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.362903808642,27.71586770305,29.153200610718,40.671549977615,37.72406219387,32.721372584246,28.137937322176,25.439047135399,22.610557211951,22.432003185635,26.308389712816,28.493306425807,27.180028585175,24.794008819857,26.865607058072,32.919044608355,42.081013879375,38.611142866695,38.642461548398,43.145678799728,43.787373530452,59.202891960614,61.75166416015,61.080827484285,59.670774934483,57.147918784918,54.680971502868
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.728107368052,29.479896288843,32.391172697355,32.999600023702,31.085888174541,29.998296111106,30.298154487747,37.266809968226,45.271708223473,53.243591205652,58.396826693534,65.734807930944,69.651628830634,70.946905468419,68.725172210531,65.770399015356,62.752504151826,no data,no data,no data,no data,no data,no data,no data
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,42.729290610272,44.377495761188,43.056498881537,41.996671600872,45.34020089079,46.963994332513,48.581091906326,48.568835006477,45.552309048068,38.631830511378,37.91377514519,44.41936762068,47.850323803832,52.351904499801,67.245352509696,78.7600931375,90.489648675352,90.879564705222,86.019106761547,79.043598457063,53.483806261768,49.402789866795,no data,no data,no data,no data,no data,no data
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1.5191415114983,0.54624565591175,1.414432641135,7.6228306246567,13.410144744802,15.017957545563,13.17107585492,14.914096510191,13.725753867113,13.383668986806,19.699948410852,25.324315592544,26.571077681415,28.121832898336,28.796510388719,29.201342179952,28.082115667087,24.976729631992,21.45556918045,19.624235916288,18.281052236796,27.346512131152,29.798355417165,30.894765824875,31.417452945557,31.3954506692,31.175235120135
Denmark,no data,no data,no data,no data,no data,51.160003402893,50.911468864657,49.223254973917,46.532803479296,42.869029198862,39.571154357753,34.971994697877,36.470056840099,35.212016556801,31.748098608103,25.390814403433,16.172648698774,11.363340974416,7.8417070503533,11.491612485142,15.032585539111,15.118574613911,18.539505499203,18.303114977273,18.076434824964,16.170551710997,16.455001378208,15.636348590068,14.666551496602,10.425114289998,14.825732187727,17.186046255556,18.023149528807,17.619334170901,17.07777896448,16.442598013469
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.763404903164,19.156914519461,46.594575049628,31.639202753358,32.20994105578,29.925317848289,26.027666227266,27.94766225648,29.859441841373,30.194719879543,31.862793702218,37.649316007716,40.261768649981,38.466311740257,38.067050987599,39.174729852142,40.87975090797,41.904979700719,43.569216876732,58.398747531001,57.298406441664,55.464700436577,53.426346766396,51.571125268597,49.789468741226
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,44.273653932382,45.64745298931,45.291216416076,51.191319869459,63.124893785841,69.627565682181,67.540174449252,67.585771110118,67.872246925928,61.33227998952,52.843506992691,55.870509105139,57.094098893384,61.279063557159,63.451961545351,73.732745646098,77.053521126761,78.838774657924,88.188370118846,93.883701723343,81.33145535674,74.361192010672,77.959718965735,82.692068455227,80.83106607492,81.567149475758,78.28058813241,74.790762134972
Estonia,no data,no data,no data,no data,no data,no data,-0.49233696216552,-0.28103131270759,-0.17752524296061,-0.2622723553583,-0.2734729609678,-2.3211545419831,-4.405072476729,-7.3585645483405,-9.1395055767862,-9.7120179385646,-10.863144729594,-10.410555932956,-7.8908349355613,-9.4681750824314,-8.340118567766,-6.6613893771966,-4.7488331509771,-4.3360641483204,-3.8632328360916,-2.1989951025444,-2.6126827738028,-1.5751694941895,-1.7646190223386,-2.0617251189689,9.1585771516414,13.448448489349,17.137374752954,20.040698324873,22.71863794861,24.648800459416
Ethiopia,no data,no data,18.151605457364,29.097526966655,32.028857538337,30.256741802827,27.412159790799,16.459472121226,18.28267885283,20.035388522155,19.902919771231,20.310642733178,23.639028356744,99.482922636743,54.315653715437,68.034063439352,30.497540055342,34.130858624445,33.044695069323,29.18904233018,32.38956785882,39.952262221011,37.034766358572,41.936085642453,42.996736463554,49.625154087397,51.788883197938,53.785397880912,57.465775086092,53.813318673455,52.618618378597,55.629595923451,54.538966488613,51.686952027646,46.357175343047,36.193835134834
Finland,73.079947651954,70.275654032916,51.244879997601,33.21705094418,33.698068673838,8.354727090077,12.406962961512,15.29388937522,12.235005063333,7.8201330013552,4.4201931956436,2.9164477141356,-0.31383430087685,0.96606896915302,-2.0521800476196,-4.7277562892032,-4.9509245388873,-5.1750710919735,-7.7389133400252,-4.7335031664897,3.1688662347257,5.0354043980242,9.4320945895532,12.890500731692,17.189229423336,18.431771412352,21.234564495812,21.852496093975,24.250412989703,24.462402463906,31.958126594247,34.505066757108,35.844342474056,36.790369736935,37.577774250536,38.112082033141
France,25.814789111397,28.389459437705,31.344131067332,35.95878869313,41.878999945394,46.106250405287,49.334566298215,50.271624572529,50.573416890057,50.485403629838,49.6758725403,49.525419321285,51.239774560107,55.026596494929,56.683640264575,58.881989688007,58.009329324281,58.046936168459,59.81288709985,69.75235769889,73.623419965729,76.429444866299,79.973994687869,82.992118322927,85.46515549374,86.347906144015,89.184644217053,89.376739585991,89.334164164923,89.393533344511,110.01198337653,109.84646495334,111.23309055261,112.54487949882,113.54404323315,114.58073320036
Germany,no data,no data,no data,no data,no data,41.406358036746,44.322257960424,45.544297988425,47.133815192462,47.898498650145,44.7268727271,45.934620306185,48.438256328135,52.201739036069,54.691361844315,57.224807827611,56.004494608147,53.163129363285,52.898578042718,59.750749265046,62.214826080175,60.292846641619,59.567516965297,58.606470201149,55.018326655121,52.189459979248,49.33525587449,45.501585957679,42.747429545258,41.149012046795,54.113517108999,54.158420102828,51.218416465131,48.789215135932,46.324557364956,43.815742868593
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,59.711595404348,56.484800774647,52.299462928423,38.858776488733,31.074810870357,15.544891513583,16.965402492313,22.352760859262,24.32028831103,32.165363347449,28.586598637668,34.024017326171,40.164980437095,46.25314413788,50.670601038526,52.005545745458,53.072851741247,57.828108962996,57.99990069355,72.268381814783,70.755286678375,71.122079626475,69.302222938881,69.069632370404,68.824588209302
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.107844583184,61.669520513792,62.730545598563,63.227288901773,71.671206395098,72.935564815197,72.769006117772,70.887030715895,71.120011348838,70.551126364645,70.880515750317,68.485493321615,65.890618687763,63.220891270307,59.332372900427,70.407603650433,68.856830893058,66.207269634938,62.823881483925,59.436943292499,56.466039266064
Iceland,18.584476926306,19.314117966039,26.024484741166,33.98607281709,36.973702766938,38.86445086914,38.503590155752,36.562274428677,40.833148063963,36.079505180565,34.440190441208,39.525446457611,36.553187693377,35.394678383345,29.517116953837,18.652332037311,20.218845618742,17.482403819641,52.690432887457,65.185846895261,64.308290872526,59.936792219355,62.011620602162,60.512608207816,53.610794961323,47.361012542569,39.69708575411,35.715145933286,29.030153100868,27.723229977953,41.995248007732,43.382759537389,44.048351270193,44.488195575836,44.489043359556,45.445014846749
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.834827532084,21.263860564347,19.686537587067,17.758158836989,18.576668454681,20.600460008209,20.377420601737,22.043463765785,23.451280992128,25.28513739911,26.304550325061,26.96186887725,34.968065539241,38.574102648038,40.167361743084,40.478961173418,40.597384642964,40.692410926774
Iran,no data,no data,no data,no data,no data,no data,18.20566038478,15.43515914892,17.239640863276,11.815361196969,5.4335224576978,-1.0054913296945,9.1822319115977,7.4278385914685,4.820137437196,-0.4992626785794,-0.83476321534264,-2.7426820489421,-2.598037089878,3.7035975585003,2.9006149639825,-2.3706782316999,1.3323488045661,-5.6444914472083,-5.6229426228736,22.989962248662,33.122243296293,24.516277082412,27.85790670054,40.993332996108,44.016569225714,39.650884112093,38.747189486766,38.419152198719,38.44866809828,38.345185602445
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,44.084230171073,34.473758038759,24.456487590324,20.676837816345,22.476194677902,22.266051138315,19.834418866524,17.722910189424,14.534823945758,14.528541204763,22.916023052913,37.083500247426,66.643167286955,79.612869229193,87.212776536345,90.244527948441,86.037828744923,65.891571996727,65.860578132166,59.405840110398,54.586375179149,49.589383654019,58.64393441172,55.967772981261,54.187483427326,50.98840932835,47.900771032951,44.820214444357
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.6,72.3,79.4,82.1,82.1,79,71.1,65.1,64.3,66.4,64.2,63.3,63.2,62.2,61.8,60.1,58.4,56.8,57.4,57.2,73.574783485969,77.194107606977,78.750485065898,79.702952813285,80.235061098477,80.384778220126
Italy,94.579445518009,97.674711735616,104.66511178431,114.95852578321,120.88198587457,103.38033926844,110.05782734407,107.94016247421,105.95474757125,103.99711015369,100.49302745924,100.65368849002,98.267887864476,98.232155750405,97.631238294591,98.087484559481,98.403799349128,96.260496395928,97.850216767418,106.83547883159,108.56226637348,109.81157915422,114.62656961915,120.0020957978,122.3225933311,123.13588323955,122.38205623702,122.03625144176,122.9023513052,123.04100600504,148.84289041732,146.05956869584,144.74063000041,143.3635176415,142.56186347029,141.54741383003
Japan,19.424309602732,17.60278084927,19.750282644963,24.107872767297,30.358016954658,37.855105252899,41.839979657931,45.732852188321,55.312108691987,64.35915357168,67.697273241619,75.022279905982,85.578703461449,91.480376336315,95.295485017722,94.911195233117,94.036152844758,95.92678566122,107.26811194669,121.67166154921,129.98680933899,141.36559326214,145.33071654089,144.7143789791,146.57434867556,146.3540037469,151.97694950043,149.75739030814,153.48722514715,154.87357354874,177.08423470586,178.94183573436,178.64183399376,178.50838141011,178.73900219714,179.70829157895
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.8521332624746,3.5799418661203,0.028454972237431,-6.1294206281482,-10.855023018667,-13.79222987388,-13.912513845756,-11.029505842806,-10.249393017033,-12.70566007238,-15.940629901469,-17.604009883586,-19.14037726944,-30.753841202074,-23.759383261339,-15.780706330745,-15.780212880949,-13.907817168042,-12.246737751717,-7.698907657513,-4.9158590483719,-2.8748490777975,-0.99717428120548,0.89828391363836
Kenya,no data,no data,no data,no data,no data,no data,no data,no data,50.633177338128,50.352578698401,49.836362026526,52.499645767779,58.442129739332,56.301530174415,49.6599319744,43.791575426547,39.906239021395,34.424042872362,37.131744282561,36.864179292621,40.22253480037,39.063210484658,40.136355263801,40.093153503816,38.713818139078,43.49766190917,45.141535633541,51.10404654505,54.518952845632,57.20890303037,62.741201725005,66.86555329205,69.226338462829,71.764096857187,72.685622713051,74.431559448144
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.624653550763,21.754046505914,24.48488405112,26.481692260006,25.66097187068,25.739037196311,28.677776213471,27.958109109389,31.544838472899,2.3161404260907,5.7850405964956,7.5181633719453,9.4892306470371,9.734203676921,9.6058586018715,9.5779822762356,11.48016605455,17.965528717262,21.796281135003,25.356937726176,28.809422088106,31.82362921839,34.516002728177
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.3796898595342,10.520138899241,9.4541738596924,8.8127708408485,8.9152552694499,8.3069999324338,5.9423134107844,4.1422043622179,7.8826728702504,18.757759837635,28.938664813803,31.620080922055,29.79778531179,29.633647129557,29.55300760826,30.92396241851,30.957839378529,31.784841094042,28.054725263757,28.305292504481,35.145355468703,36.715805632655,35.228439418682,33.578397919618,32.732128394058,31.952624800109
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,9.942822022331,14.299561136948,10.725146242576,11.696924865265,11.578729254511,10.345648052603,10.48746011032,10.090318679383,7.8794519751487,8.2546503860113,10.054257069629,19.770712980976,26.373328134558,33.158204119269,33.436606703549,34.138673717307,32.664970118868,34.69304803091,32.2206395446,32.262587740985,27.465005611474,31.484593085677,42.037502285626,41.808372581399,39.368108402287,36.961483712473,34.940294980387,32.786735906116
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-33.296273715167,-33.167734593971,-29.627534857081,-25.49290568777,-24.728247205568,-25.797228528086,-22.651297585795,-19.876407988858,-13.269268103281,-11.149414103223,-10.429111286926,-9.020527102442,-10.841073851366,-12.126386226659,-11.537129651231,-11.187872046073,-10.730836542993,-7.9407962995326,-4.8385700364866,-1.6612832861224,0.72082778052023,2.0778229107407,3.2310194053652,4.2965220560461
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,92.43786573412,78.468732147714,42.907565213752,37.392723224684,36.923745062219,42.065419302913,13.120684547511,13.183558486168,15.133253794431,12.49854268418,17.285958006398,17.502219319133,21.328696238345,20.218031948113,19.657970403903,23.148689146787,29.963128860521,31.09891125306,34.261670629142,34.312994568656,31.316002920066,29.416757984069,27.720230984878,26.552173000324,26.186716695002,26.341766676004
